datetime,load_mw,zone,temperature,humidity,wind_speed
2025-01-01 00:00:00,25690.8,PJM-RTO,41.73,,5.37
2025-01-01 01:00:00,27755.1,PJM-RTO,40.82,66.82,6.88
2025-01-01 02:00:00,27886.4,PJM-RTO,38.64,63.98,7.43
2025-01-01 03:00:00,28850.35,PJM-RTO,44.78,67.99,6.96
2025-01-01 04:00:00,31429.71,PJM-RTO,49.82,63.46,8.48
2025-01-01 05:00:00,31930.17,PJM-RTO,53.73,57.73,8.27
2025-01-01 06:00:00,32737.42,PJM-RTO,61.53,53.21,7.5
2025-01-01 07:00:00,33985.53,PJM-RTO,64.87,52.31,8.77
2025-01-01 08:00:00,33376.95,PJM-RTO,71.04,45.18,5.76
2025-01-01 09:00:00,34342.17,PJM-RTO,77.02,44.43,8.0
2025-01-01 10:00:00,32453.62,PJM-RTO,77.83,42.51,6.26
2025-01-01 11:00:00,32354.26,PJM-RTO,79.64,40.96,7.31
2025-01-01 12:00:00,31268.26,PJM-RTO,76.33,43.15,5.39
2025-01-01 13:00:00,30030.7,PJM-RTO,76.58,42.43,6.19
2025-01-01 14:00:00,29469.82,PJM-RTO,78.49,42.17,4.67
2025-01-01 15:00:00,28208.28,PJM-RTO,78.1,48.58,4.76
2025-01-01 16:00:00,26555.89,PJM-RTO,70.55,44.52,4.57
2025-01-01 17:00:00,25211.91,PJM-RTO,62.85,55.07,4.18
2025-01-01 18:00:00,24204.27,PJM-RTO,60.31,56.38,3.98
2025-01-01 19:00:00,24466.21,PJM-RTO,53.12,53.81,4.47
2025-01-01 20:00:00,24305.8,PJM-RTO,49.76,65.58,3.29
2025-01-01 21:00:00,24485.43,PJM-RTO,47.4,62.68,4.74
2025-01-01 22:00:00,23722.66,PJM-RTO,42.51,68.71,5.73
2025-01-01 23:00:00,26281.46,PJM-RTO,42.64,71.85,5.52
2025-01-02 00:00:00,24983.06,PJM-RTO,40.27,70.38,6.49
2025-01-02 01:00:00,27051.88,PJM-RTO,40.33,68.61,6.25
2025-01-02 02:00:00,27718.99,PJM-RTO,39.47,71.13,6.27
2025-01-02 03:00:00,27856.23,PJM-RTO,44.11,68.32,6.28
2025-01-02 04:00:00,29706.49,PJM-RTO,52.46,58.09,7.73
2025-01-02 05:00:00,32374.69,PJM-RTO,53.04,56.44,6.84
2025-01-02 06:00:00,32618.94,PJM-RTO,59.44,52.68,7.4
2025-01-02 07:00:00,32122.88,PJM-RTO,67.4,54.42,8.34
2025-01-02 08:00:00,31713.03,PJM-RTO,68.27,44.79,7.45
2025-01-02 09:00:00,32469.36,PJM-RTO,76.0,47.09,7.81
2025-01-02 10:00:00,32203.01,PJM-RTO,81.43,41.14,8.49
2025-01-02 11:00:00,30573.71,PJM-RTO,78.28,42.64,4.47
2025-01-02 12:00:00,29532.09,PJM-RTO,76.91,37.47,5.84
2025-01-02 13:00:00,28777.16,PJM-RTO,79.49,37.97,5.93
2025-01-02 14:00:00,28244.54,PJM-RTO,78.26,38.63,5.92
2025-01-02 15:00:00,26404.73,PJM-RTO,75.6,41.26,5.71
2025-01-02 16:00:00,25091.0,PJM-RTO,69.74,46.24,3.58
2025-01-02 17:00:00,25191.54,PJM-RTO,66.38,49.57,3.49
2025-01-02 18:00:00,25087.06,PJM-RTO,65.1,53.54,4.28
2025-01-02 19:00:00,23178.31,PJM-RTO,51.24,57.95,3.52
2025-01-02 20:00:00,23063.54,PJM-RTO,49.37,58.33,5.02
2025-01-02 21:00:00,23849.36,PJM-RTO,46.89,63.07,4.66
2025-01-02 22:00:00,24576.18,PJM-RTO,44.26,68.77,6.12
2025-01-02 23:00:00,23624.5,PJM-RTO,41.55,69.48,4.57
2025-01-03 00:00:00,25994.71,PJM-RTO,41.87,67.13,6.56
2025-01-03 01:00:00,26971.27,PJM-RTO,40.67,67.51,6.47
2025-01-03 02:00:00,27491.06,PJM-RTO,42.34,65.37,5.9
2025-01-03 03:00:00,29395.92,PJM-RTO,43.42,66.27,8.28
2025-01-03 04:00:00,28765.08,PJM-RTO,47.94,66.13,6.46
2025-01-03 05:00:00,30522.56,PJM-RTO,56.2,60.89,8.79
2025-01-03 06:00:00,31233.94,PJM-RTO,56.14,54.24,8.99
2025-01-03 07:00:00,33058.82,PJM-RTO,69.09,53.14,8.49
2025-01-03 08:00:00,32715.2,PJM-RTO,73.49,46.59,8.62
2025-01-03 09:00:00,31807.71,PJM-RTO,72.78,37.98,7.09
2025-01-03 10:00:00,31112.38,PJM-RTO,77.08,37.33,8.57
2025-01-03 11:00:00,29921.59,PJM-RTO,80.96,45.61,6.13
2025-01-03 12:00:00,29742.49,PJM-RTO,76.96,37.73,6.69
2025-01-03 13:00:00,29425.69,PJM-RTO,79.52,39.39,4.72
2025-01-03 14:00:00,27068.36,PJM-RTO,77.38,40.89,4.79
2025-01-03 15:00:00,27358.41,PJM-RTO,75.48,40.8,4.5
2025-01-03 16:00:00,25230.58,PJM-RTO,69.5,51.23,3.75
2025-01-03 17:00:00,24781.1,PJM-RTO,63.36,53.38,3.38
2025-01-03 18:00:00,23002.76,PJM-RTO,62.26,61.01,
2025-01-03 19:00:00,22323.34,PJM-RTO,52.13,53.42,3.78
2025-01-03 20:00:00,22518.95,PJM-RTO,52.06,59.72,3.87
2025-01-03 21:00:00,22855.94,PJM-RTO,45.48,70.65,4.95
2025-01-03 22:00:00,21978.81,PJM-RTO,41.32,69.68,3.53
2025-01-03 23:00:00,24506.53,PJM-RTO,40.98,70.57,6.55
2025-01-04 00:00:00,26217.36,PJM-RTO,39.9,70.7,5.95
2025-01-04 01:00:00,27787.6,PJM-RTO,42.93,73.26,7.17
2025-01-04 02:00:00,29127.42,PJM-RTO,41.7,67.26,7.88
2025-01-04 03:00:00,29832.98,PJM-RTO,47.84,63.25,7.91
2025-01-04 04:00:00,31441.35,PJM-RTO,53.2,60.68,6.33
2025-01-04 05:00:00,33289.29,PJM-RTO,56.03,61.38,8.0
2025-01-04 06:00:00,33227.04,PJM-RTO,57.18,50.13,9.09
2025-01-04 07:00:00,32583.42,PJM-RTO,63.14,50.31,7.72
2025-01-04 08:00:00,34034.78,PJM-RTO,72.04,46.16,9.64
2025-01-04 09:00:00,33380.41,PJM-RTO,71.58,40.37,6.35
2025-01-04 10:00:00,32939.49,PJM-RTO,77.23,38.97,6.09
2025-01-04 11:00:00,32127.55,PJM-RTO,79.69,40.47,6.81
2025-01-04 12:00:00,30688.62,PJM-RTO,80.68,40.44,5.34
2025-01-04 13:00:00,29396.45,PJM-RTO,77.28,41.06,4.29
2025-01-04 14:00:00,28734.68,PJM-RTO,77.82,40.06,5.24
2025-01-04 15:00:00,29065.57,PJM-RTO,74.79,40.72,4.03
2025-01-04 16:00:00,26047.65,PJM-RTO,66.48,49.5,4.67
2025-01-04 17:00:00,25838.52,PJM-RTO,66.22,54.96,3.11
2025-01-04 18:00:00,24239.2,PJM-RTO,58.77,51.61,3.91
2025-01-04 19:00:00,23810.29,PJM-RTO,52.78,52.77,4.41
2025-01-04 20:00:00,24146.05,PJM-RTO,46.63,60.12,3.93
2025-01-04 21:00:00,24913.94,PJM-RTO,46.57,59.53,4.48
2025-01-04 22:00:00,24494.11,PJM-RTO,41.33,68.76,6.04
2025-01-04 23:00:00,26154.17,PJM-RTO,40.44,69.79,4.69
2025-01-05 00:00:00,28511.74,PJM-RTO,41.88,66.04,6.28
2025-01-05 01:00:00,29821.16,PJM-RTO,42.45,71.24,6.74
2025-01-05 02:00:00,29690.36,PJM-RTO,42.84,69.51,7.73
2025-01-05 03:00:00,32537.21,PJM-RTO,43.8,67.05,7.11
2025-01-05 04:00:00,32615.34,PJM-RTO,48.92,62.27,8.24
2025-01-05 05:00:00,34200.06,PJM-RTO,55.93,57.12,7.74
2025-01-05 06:00:00,34365.09,PJM-RTO,59.23,56.2,8.64
2025-01-05 07:00:00,35573.79,PJM-RTO,65.64,50.28,7.42
2025-01-05 08:00:00,33629.91,PJM-RTO,70.56,46.43,7.58
2025-01-05 09:00:00,35865.01,PJM-RTO,76.56,42.3,7.88
2025-01-05 10:00:00,35152.0,PJM-RTO,79.75,39.85,6.99
2025-01-05 11:00:00,34724.01,PJM-RTO,81.89,49.52,6.67
2025-01-05 12:00:00,33191.82,PJM-RTO,80.55,43.58,4.35
2025-01-05 13:00:00,31767.89,PJM-RTO,77.7,39.66,
2025-01-05 14:00:00,30022.53,PJM-RTO,74.2,39.08,4.96
2025-01-05 15:00:00,28920.24,PJM-RTO,72.77,41.41,4.86
2025-01-05 16:00:00,27889.06,PJM-RTO,70.24,49.29,3.48
2025-01-05 17:00:00,26875.02,PJM-RTO,64.89,51.74,4.25
2025-01-05 18:00:00,27124.6,PJM-RTO,57.5,54.96,4.85
2025-01-05 19:00:00,25516.4,PJM-RTO,54.34,62.35,4.25
2025-01-05 20:00:00,27127.6,PJM-RTO,50.85,63.7,4.15
2025-01-05 21:00:00,25274.63,PJM-RTO,42.49,67.73,4.4
2025-01-05 22:00:00,27804.91,PJM-RTO,43.59,67.2,5.2
2025-01-05 23:00:00,28166.33,PJM-RTO,39.24,64.7,4.81
2025-01-06 00:00:00,29100.3,PJM-RTO,43.98,69.92,6.89
2025-01-06 01:00:00,29741.41,PJM-RTO,41.44,74.37,5.13
2025-01-06 02:00:00,30862.44,PJM-RTO,39.84,64.72,6.81
2025-01-06 03:00:00,31289.3,PJM-RTO,43.28,62.7,6.41
2025-01-06 04:00:00,34008.28,PJM-RTO,52.17,61.84,7.58
2025-01-06 05:00:00,34435.34,PJM-RTO,54.97,57.77,6.95
2025-01-06 06:00:00,35452.37,PJM-RTO,58.14,53.63,9.12
2025-01-06 07:00:00,36854.6,PJM-RTO,66.77,49.5,9.29
2025-01-06 08:00:00,36261.69,PJM-RTO,69.63,45.28,8.03
2025-01-06 09:00:00,36570.73,PJM-RTO,73.78,45.39,7.96
2025-01-06 10:00:00,36294.13,PJM-RTO,76.23,41.33,7.56
2025-01-06 11:00:00,33575.04,PJM-RTO,79.24,40.61,6.8
2025-01-06 12:00:00,35377.38,PJM-RTO,81.25,42.22,6.15
